Percentage Recycling in Financial Year,Total Percentage of Recycling during Financial Year 2008/09,Total Percentage of Recycling during Financial Year 2009/10,Total Percentage of Recycling during Financial Year 2010/11,Total Percentage of Recycling during Financial Year 2011/12,Total Percentage of Recycling during Financial Year 2012/13,Total Percentage of Recycling during Financial Year 2013/14,Total Percentage of Recycling during Financial Year 2014/15,Total Percentage of Recycling during Financial Year 2015/16
Percentage of Recycling in Whole of Plymouth,30.04%,31.25%,32.90%,31.84%,32.85%,33.66%,35.33%,
Percentage of Recycling in Whole of England ,49.64%,44.92%,41.09%,41.69%,41.57%,41.49%,41.87%,
